idx,x,y,left_width,right_width,fixed_left_width,fixed_right_width,fixed_radius
114,-0.7579742754087541,0.15970852916649272,0.7999999999999999,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
115,-0.7989805721490512,0.1456291877526904,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
116,-0.8269370782178115,0.14792772133710896,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
117,-0.8153238523314514,0.14608386081194455,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
118,-0.8220524882892104,0.13594886474096665,0.7777777777777779,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
119,-0.8254992755710675,0.15693682040533632,0.8000000000000002,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
120,-0.8219290962346202,0.14780082934728783,0.8000000000000002,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
121,-0.8238076454243713,0.1391253378023384,0.7777777777777779,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
122,-0.832325376277786,0.12633566944603628,0.7777777777777779,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
123,-0.8480146132869562,0.11775333731668224,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
124,-0.8499056648871267,0.12089312885055731,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
125,-0.8524056391282301,0.10923062745365897,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
126,-0.8518004311432334,0.09771614204661473,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
127,-0.8651779199753629,0.09751856931508257,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
128,-0.8709901014345848,0.09461826720773335,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
129,-0.8803815532784985,0.08647668059591698,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
130,-0.8993580543166148,0.059263340391814086,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
131,-0.88449933663284,0.062359920661853925,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
132,-0.8714753987848636,0.06385626921954897,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
133,-0.8570489564592215,0.07772045471425329,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
134,-0.8600883400132019,0.08477081287328617,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
135,-0.8713393340969523,0.05874348288176823,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
136,-0.8809299683142033,0.046213602903267696,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
137,-0.8874146249938755,0.0425718142632251,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
138,-0.8969011206174672,0.041198302001034325,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
139,-0.9067179443807631,0.05235509997845347,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
140,-0.9178534920200191,0.07235240760551015,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
141,-0.942936450105945,0.07295906522508078,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
142,-0.9750799179765559,0.07100181375309521,0.8,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
143,-1.0108159365432137,0.06237546344490406,0.8222222222222222,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
144,-1.0580070401561688,0.04580182100541595,0.8444444444444446,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
145,-1.0771081548174264,0.048835790026902116,0.8666666666666667,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
146,-1.1114120415605804,0.06742980987830881,0.8888888888888891,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
147,-1.1511628604953994,0.08155139596659826,0.9111111111111112,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
148,-1.190151588553151,0.09403479284834602,0.9111111111111111,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
149,-1.2293567907705958,0.08997818873908417,0.9111111111111112,0.8,0.9111111111111112,0.9111111111111111,0.9111111111111112
